字符    码点
你      4F60
好      597D
我      6211
是      662F
的      7684
了      4E86
能      80FD
会      4F1A
在      5728
不      4E0D
人      4EBA
们      4EEC
有      6709
这      8FD9
个      4E2A
上      4E0A
下      4E0B
大      5927
小      5C0F
中      4E2D
国      56FD
家      5BB6
学      5B66
习      4E60
爱      7231
心      5FC3
天      5929
地      5730
日      65E5
月      6708
星      661F
光      5149
明      660E
白      767D
黑      9ED1
红      7EA2
绿      7EFF
蓝      84DD
黄      9EC4
花      82B1
草      8349
树      6811
山      5C71
水      6C34
火      706B
风      98CE
云      4E91
雨      96E8
雪      96EA
电      7535
开      5F00
关      5173
门      95E8
口      53E3
手      624B
足      8DB3
头      5934
发      53D1
眼      773C
睛      775B
耳      8033
鼻      9F3B
口      53E3
身      8EAB
心      5FC3
生      751F
活      6D3B
工      5DE5
作      4F5C
吃      5403
喝      559D
睡      7761
笑      7B11
哭      54ED
走      8D70
跑      8DD1
飞      98DE
看      770B
听      542C
说      8BF4
话      8BDD
读      8BFB
写      5199
画      753B
唱      5531
歌      6B4C
舞      821E
乐      4E50
喜      559C
怒      6012
哀      54C0
惧      60E7
思      601D
想      60F3
念      5FF5
意      610F
识      8BC6
知      77E5
道      9053
来      6765
去      53BB
前      524D
后      540E
左      5DE6
右      53F3
东      4E1C
西      897F
南      5357
北      5317
里      91CC
外      5916
内      5185
边      8FB9
年      5E74
月      6708
日      65E5
时      65F6
分      5206
秒      79D2
点      70B9
钟      949F
午      5348
晚      665A
早      65E9
周      5468
期      671F
星      661F
期      671F
一      4E00
二      4E8C
三      4E09
四      56DB
五      4E94
六      516D
七      4E03
八      516B
九      4E5D
十      5341
百      767E
千      5343
万      4E07
零      96F6
